propertyid,transdate,transvalue,transdate_previous,transvalue_previous,bathroomcnt,bedroomcnt,builtyear,finishedsquarefeet,lotsizesquarefeet,storycnt,latitude,longitude,usecode,censustract,viewtypeid
48787157,12/5/2005,319000,,,2.5,3,1993,1870,6000,2,47358682,-122192854,9,29601,
48787205,10/26/2005,425000,,,0.75,1,1941,1050,60548,1,47376098,-122273457,9,29801,8
48787229,9/7/2005,420000,,,1.75,5,1959,2829,15240,1,47383874,-122285066,9,29100,8
48787373,10/27/2005,416300,3/15/2000,254000,1.75,3,1946,1160,5850,1,47770433,-122342523,9,20300,3
48787485,10/28/2005,267697,3/7/2005,215000,1,3,1953,1630,9835,1,47468635,-122163132,9,25702,
48787501,11/22/2005,216950,1/31/1991,78000,1,3,1948,1180,7482,1,47469736,-122161613,9,25600,
48789665,11/9/2005,402000,,,1.5,2,1928,1190,4500,1,47691406,-122393625,9,1500,
48790537,9/2/2005,275000,3/17/1995,125000,1,3,1959,1720,8040,1,47515978,-122199634,9,25300,
48790841,12/29/2005,750000,12/20/1996,81750,3.25,3,1916,2360,3700,2,47681108,-122358129,9,2900,
48790841,12/29/2005,750000,1/18/2000,294000,3.25,3,1916,2360,3700,2,47681108,-122358129,9,2900,
48791073,9/26/2005,289950,11/26/2001,212000,2.5,3,1990,1650,7344,2,47355309,-122040236,9,31602,
48791189,9/9/2005,354888,,,2.5,4,1999,2220,5877,2,47351394,-122040770,9,31602,
48791665,10/17/2005,439000,9/18/1996,175000,1.5,3,1949,2360,15525,1,47206831,-122006552,9,31400,8
48791665,10/17/2005,439000,2/19/2003,240000,1.5,3,1949,2360,15525,1,47206831,-122006552,9,31400,8
48791805,9/22/2005,692000,,,2.5,4,1997,3410,122403,2,47299976,-122133203,9,31204,
48791813,12/16/2005,549900,3/14/1995,240000,1.75,4,1976,2860,134164,2,47299616,-122129050,9,31204,
48791813,12/16/2005,549900,8/18/2003,410000,1.75,4,1976,2860,134164,2,47299616,-122129050,9,31204,
48792341,11/3/2005,261250,11/30/1990,98500,1,3,1945,1230,16117,1,47467495,-122134146,9,31903,
48792641,12/12/2005,1439000,5/29/1996,711000,3.25,5,1988,4980,19797,2,47555136,-122135040,9,24903,3
48792641,12/12/2005,1439000,7/31/2003,1100000,3.25,5,1988,4980,19797,2,47555136,-122135040,9,24903,3
48793017,11/16/2005,340000,10/6/1994,114500,2,5,1958,2400,6837,1,47508546,-122265766,9,11900,
48793017,11/16/2005,340000,8/11/2003,250000,2,5,1958,2400,6837,1,47508546,-122265766,9,11900,
48793137,9/30/2005,209000,5/31/1996,107000,1.5,3,1966,1270,8400,1,47329469,-122331475,9,30202,
48793497,9/26/2005,547500,7/21/1992,185000,1.75,3,1962,1860,12500,1,47612512,-122168595,9,23601,
48793505,10/28/2005,484500,,,1.75,4,1958,1930,10250,1,47611150,-122168547,9,23601,
48793685,12/12/2005,320500,,,2.25,3,1978,2490,11009,1,47381943,-122204624,9,29503,
48794061,11/10/2005,249950,2/27/2001,127500,1,3,1918,1120,4900,1,47553223,-122287427,9,10300,
48794117,10/26/2005,660000,1/18/1996,262500,2.25,3,1980,1990,8931,1,47583388,-122199915,9,23900,
48794117,10/26/2005,660000,3/12/2002,405000,2.25,3,1980,1990,8931,1,47583388,-122199915,9,23900,
48794457,10/27/2005,335000,,,1.75,8,1900,2940,6000,3,47528063,-122032508,9,32103,
48794469,9/16/2005,324950,9/11/1997,173500,1,3,1943,1690,10875,1,47527151,-122031888,9,32103,2
48794725,11/22/2005,258000,2/11/1993,119950,1,3,1992,1300,11850,1,47312243,-122284762,9,30401,
48794725,11/22/2005,258000,1/21/1999,135665,1,3,1992,1300,11850,1,47312243,-122284762,9,30401,
48794725,11/22/2005,258000,10/1/2001,170000,1,3,1992,1300,11850,1,47312243,-122284762,9,30401,
48794765,12/27/2005,355000,4/30/2003,222500,2,4,1955,1880,9460,1,47200837,-121999223,9,31400,8
48795009,9/7/2005,900000,3/14/2001,592500,2.25,3,1990,3170,80875,1,47640044,-121987031,9,32315,
48795017,10/27/2005,1152000,1/29/1993,495000,3.25,3,1988,5060,65396,2,47639736,-121992209,9,32315,
48795017,10/27/2005,1152000,6/22/2004,1019000,3.25,3,1988,5060,65396,2,47639736,-121992209,9,32315,
48795193,10/28/2005,410000,5/10/1991,172005,2.5,4,1990,1950,2875,2,47563665,-122397144,9,9702,2
48795285,10/20/2005,574950,2/28/1997,247950,2.5,3,1997,2160,3680,2,47562047,-122396623,9,9702,2
48795597,10/6/2005,580000,5/31/1991,159000,1,4,1921,1520,3000,2,47637566,-122362853,9,6900,
48795649,12/22/2005,580000,,,1.5,3,1902,1400,3600,2,47636147,-122364050,9,6900,
48795689,11/30/2005,1200000,11/12/2004,550000,3.75,5,1930,3360,3600,2,47637462,-122365925,9,6900,3
48795729,12/27/2005,489000,11/22/2002,270000,1,3,1951,1170,4500,2,47689281,-122332438,9,2700,
48795729,12/27/2005,489000,12/15/2004,423000,1,3,1951,1170,4500,2,47689281,-122332438,9,2700,
48795873,12/27/2005,239000,,,1,2,1942,820,9450,1,47482901,-122334809,9,27500,
48796121,11/15/2005,331950,,,2.25,4,1977,2100,7000,2,47325495,-122327456,9,30202,
48796133,9/16/2005,355000,,,2.25,4,1977,2730,7350,2,47326762,-122326863,9,30202,
48796529,9/21/2005,230000,,,1,5,1913,1510,12896,2,47212770,-121990030,9,31400,8
48796749,11/30/2005,335000,,,1,3,1947,1470,48373,1,47213470,-121980422,9,31400,8
48797113,11/9/2005,380000,,,0.75,2,1932,1320,426016,1,47374531,-122113051,9,31702,
48797813,10/28/2005,335000,3/27/1995,137500,1.75,4,1964,1830,10950,1,47473306,-122326205,9,27400,8
48797813,10/28/2005,335000,12/29/1995,146000,1.75,4,1964,1830,10950,1,47473306,-122326205,9,27400,8
48797813,10/28/2005,335000,12/21/1998,220000,1.75,4,1964,1830,10950,1,47473306,-122326205,9,27400,8
48798289,9/20/2005,4618000,,,3.5,4,1961,3400,24012,1,47642349,-122241258,9,24200,3
48798333,11/17/2005,7000000,,,3.75,3,1987,4460,27364,2,47644692,-122239923,9,24200,3
48798801,12/29/2005,760000,12/20/1989,319950,2.5,4,1989,3240,47863,2,47729956,-122102849,9,32322,
48798977,10/12/2005,303000,,,2.5,4,2004,2210,5000,2,47521727,-122324707,9,11200,
48799097,10/11/2005,385000,,,1,2,1949,810,5500,1,47664389,-122293149,9,4200,2
48799173,12/1/2005,542950,,,1,5,1923,2470,4000,2,47665014,-122289378,9,4200,
48799201,11/1/2005,615000,2/21/2003,422000,2.75,4,1929,2130,4000,2,47665238,-122288268,9,4200,
48800321,10/11/2005,341000,2/13/1996,136500,2.25,3,1925,1230,2790,1,47685594,-122320489,9,2700,
48800321,10/11/2005,341000,7/16/2002,279000,2.25,3,1925,1230,2790,1,47685594,-122320489,9,2700,
48800969,11/15/2005,2000000,,,2.25,4,1965,3650,24822,1,47629895,-122233498,9,24200,4
48801105,10/28/2005,394000,5/3/1993,174000,1.75,4,1988,2170,7501,1,47439882,-122153697,9,31909,
48801233,11/22/2005,280000,4/21/1993,122500,2,3,1983,1190,8888,1,47428824,-122146882,9,29307,
48801233,11/22/2005,280000,11/30/1999,165000,2,3,1983,1190,8888,1,47428824,-122146882,9,29307,
48801825,10/28/2005,334900,9/26/1995,139500,2,3,1978,1520,12800,1,47458557,-122159543,9,25702,
48801825,10/28/2005,334900,2/27/2003,227000,2,3,1978,1520,12800,1,47458557,-122159543,9,25702,
48802281,9/20/2005,301950,8/30/1996,169100,1.75,4,1976,2180,7350,1,47450608,-122130333,9,31907,
48802457,11/9/2005,309950,11/1/1993,145000,1.75,3,1969,1870,8302,1,47457512,-122165030,9,25702,
48802457,11/9/2005,309950,3/30/2001,203460,1.75,3,1969,1870,8302,1,47457512,-122165030,9,25702,
48802581,12/29/2005,281300,4/30/1996,144000,1.75,3,1968,1570,10500,1,47459393,-122163405,9,25702,
48802581,12/29/2005,281300,7/26/2001,220000,1.75,3,1968,1570,10500,1,47459393,-122163405,9,25702,
48802737,9/12/2005,309000,7/31/1991,119950,2.25,3,1977,1660,6930,1,47445122,-122130516,9,31907,
48803189,9/14/2005,392000,6/2/1988,124000,2.5,4,1984,1990,8400,2,47445929,-122122529,9,31907,
48803321,11/30/2005,400000,9/26/2003,275000,2.75,4,1979,2270,12598,1,47452328,-122127607,9,31907,
48803409,12/15/2005,437000,9/18/2003,299000,2.5,3,1994,1950,7541,2,47449881,-122125142,9,31907,
48803465,9/27/2005,420000,,,3,5,1991,2760,7418,2,47436401,-122150640,9,31909,
48803481,12/16/2005,364950,9/21/2000,238000,2.5,4,1989,2190,7306,2,47405765,-122196354,9,29403,
48803789,10/28/2005,525000,,,2,3,1904,1730,28000,2,47566625,-121891276,9,32601,
48803817,12/14/2005,440000,3/25/1997,140000,1,2,1900,1815,14000,1,47566260,-121892165,9,32601,
48803841,9/30/2005,488000,,,2.25,3,1988,1860,96703,2,47584277,-121849547,9,32601,8
48803961,10/19/2005,760000,,,2.25,4,1984,3390,28525,2,47728675,-122129056,9,32321,
48804553,11/10/2005,382950,,,1,4,1952,1610,3690,2,47522457,-122390772,9,11600,
48804905,11/28/2005,389000,,,1,4,1925,1440,6394,2,47522329,-122378440,9,11500,
48805061,10/13/2005,295000,,,1,2,1910,790,4080,1,47534639,-122378116,9,11500,
48805257,11/14/2005,295500,,,1.75,3,1940,1890,103143,2,47426010,-122446440,9,27701,
48805693,12/13/2005,399900,,,1.5,3,1951,1860,6900,1,47509490,-122254942,9,11900,
48805981,10/28/2005,459000,10/28/1994,233750,2,3,1992,2220,32670,1,47370576,-122117105,9,31702,8
48806181,12/7/2005,586000,3/24/1993,60000,2.5,4,1999,2890,12104,2,47456470,-122359892,9,27900,
48806181,12/7/2005,586000,5/27/1999,316000,2.5,4,1999,2890,12104,2,47456470,-122359892,9,27900,
48806457,9/30/2005,420000,,,2.25,3,1981,2510,43995,2,47454407,-121988249,9,32102,2
48806489,9/2/2005,750000,,,3.5,4,1950,2680,283140,2,47454242,-121718674,9,32702,
48806913,12/16/2005,285000,7/29/1999,124400,1,3,1981,920,7500,1,47482561,-122162241,9,25600,
48806913,12/16/2005,285000,1/16/2003,204950,1,3,1981,920,7500,1,47482561,-122162241,9,25600,
48806933,10/13/2005,334950,,,1.75,2,1981,1770,7275,1,47482208,-122160517,9,25600,
48807101,10/21/2005,359000,,,1.75,3,1968,1400,10454,1,47618396,-122120935,9,23100,
48807381,11/4/2005,349950,4/18/1995,156000,1.75,3,1985,1660,7495,1,47483372,-122162659,9,25600,
48807381,11/4/2005,349950,11/24/1997,181000,1.75,3,1985,1660,7495,1,47483372,-122162659,9,25600,
48807853,12/16/2005,543000,12/15/2003,429900,2,4,1910,1940,4000,1,47645551,-122371213,9,5900,2
48808209,12/28/2005,475000,,,2.75,4,1986,2020,7357,1,47714487,-122225059,9,22604,
48808537,12/8/2005,308000,,,1,3,1953,1350,9600,1,47738092,-122332142,9,21000,
48808813,10/14/2005,230000,4/7/1994,118500,1,2,1959,1100,6440,1,47765832,-122314369,9,20500,
48808813,10/14/2005,230000,9/29/1998,134500,1,2,1959,1100,6440,1,47765832,-122314369,9,20500,
48808813,10/14/2005,230000,10/20/2000,148500,1,2,1959,1100,6440,1,47765832,-122314369,9,20500,
48808889,9/9/2005,302000,3/30/1994,139900,1.75,4,1979,1490,7420,1,47299597,-122370851,9,30312,
48808969,10/21/2005,412000,6/29/1992,185000,2.5,4,1968,3080,14799,1,47772558,-122214650,9,21803,
48809093,9/27/2005,342450,4/2/2004,275500,2.25,5,1969,1980,7927,2,47774647,-122262917,9,21600,
48809409,11/14/2005,370000,,,2.25,3,1974,1600,8400,1,47725613,-122168390,9,21904,
48809909,9/30/2005,335000,6/25/2003,230000,2.75,4,1978,1680,10000,2,47381783,-122322772,9,29001,
48809993,10/28/2005,415000,4/6/1993,141000,1.75,3,1979,1870,11231,1,47617223,-122051304,9,32317,
48810033,9/30/2005,435000,,,2.25,3,1984,1770,11737,1,47701464,-122130439,9,32323,
48810617,9/9/2005,312000,7/14/1992,136950,1.5,4,1961,2040,9490,1,47775462,-122233394,9,21700,
48811013,12/16/2005,710000,5/25/1990,360000,3,4,1961,3130,11160,1,47540707,-122215509,9,24602,
48811877,11/10/2005,433000,4/3/1998,220600,2.25,4,1985,2290,8000,2,47436351,-122161134,9,29304,
48812489,11/18/2005,419615,,,1.75,4,1972,2240,7245,1,47716102,-122169721,9,21903,
48813053,9/9/2005,285000,1/15/1992,119000,1,2,1955,1160,8260,1,47775314,-122295653,9,20402,
48813517,9/15/2005,640000,6/10/1994,278000,2.5,4,1989,2730,9000,2,47545112,-122144527,9,24903,
48814365,10/17/2005,230000,3/12/2002,165500,1.75,3,1962,1010,10350,1,47292447,-122186295,9,31100,
48814597,9/27/2005,231700,5/26/1999,119000,1,3,1971,880,7124,1,47331746,-122338754,9,30201,
48815377,10/21/2005,416813,5/14/2004,320000,2.5,3,1993,1890,10718,2,47485684,-121799796,9,32702,8
48815409,11/10/2005,458000,12/20/1993,227000,2.5,4,1994,2250,9700,2,47485915,-121800769,9,32702,8
48815457,12/9/2005,429000,,,2.5,3,1997,2020,10082,2,47482591,-121799262,9,32702,8
48815509,9/2/2005,435000,,,2.5,4,1998,2420,9610,2,47483518,-121799221,9,32702,8
48815577,9/12/2005,489000,5/21/1993,239000,2.25,4,1979,2700,8427,2,47574197,-122112946,9,23402,3
48815577,9/12/2005,489000,4/30/2001,371010,2.25,4,1979,2700,8427,2,47574197,-122112946,9,23402,3
48815641,12/21/2005,475000,8/13/2003,346000,2.25,4,1979,2280,9841,2,47572347,-122110472,9,23402,8
48815677,10/26/2005,630000,8/11/1998,310000,2.25,5,1980,3870,9864,2,47574559,-122110047,9,23402,3
48815677,10/26/2005,630000,4/19/1999,440000,2.25,5,1980,3870,9864,2,47574559,-122110047,9,23402,3
48815917,10/4/2005,889250,8/19/1996,440000,3.25,4,1983,2930,39568,2,47480306,-122032017,9,32102,
48815965,10/5/2005,685000,9/17/1996,395000,2.5,4,1983,3120,46443,2,47480106,-122033470,9,32102,
48815965,10/5/2005,685000,7/16/2001,520000,2.5,4,1983,3120,46443,2,47480106,-122033470,9,32102,
48816505,9/22/2005,338000,7/28/1999,213950,2.5,4,1998,2120,6581,2,47362431,-122183798,9,29601,
48816505,9/22/2005,338000,7/31/2001,230000,2.5,4,1998,2120,6581,2,47362431,-122183798,9,29601,
48816661,12/5/2005,247500,,,2.5,4,2004,1850,19309,2,47371410,-122110957,9,31702,
48817253,9/14/2005,540500,1/3/2003,380000,2.75,4,1998,2140,49222,2,47448298,-121756573,9,32702,
48817369,11/29/2005,256000,9/18/1990,66500,1,2,1923,910,5418,1,47534467,-122268535,9,11102,
48817725,12/6/2005,620000,9/27/1996,309850,2.5,3,1989,2580,49658,1,47626259,-122012088,9,32209,
48818677,10/24/2005,480000,,,1,2,1907,1250,4800,2,47640199,-122357854,9,6000,
48818689,11/10/2005,787500,8/12/2004,425000,1,3,1907,1590,3600,2,47639967,-122358641,9,6000,
48818737,11/30/2005,597000,,,1.5,3,1923,1740,3705,2,47641213,-122357940,9,6000,
48819389,12/5/2005,615000,,,2,3,1991,1730,5431,1,47694611,-122369660,9,1700,
48819797,10/26/2005,325500,9/24/1998,192500,1.75,3,1963,1840,6108,1,47749368,-122325160,9,20600,
48819813,12/21/2005,352000,,,1.75,3,1963,1900,7500,1,47769727,-122330510,9,20300,
48820269,11/16/2005,283000,4/29/2005,185000,1,3,1947,1110,6000,1,47711734,-122318659,9,1200,8
48820849,12/30/2005,995000,,,2.25,3,1989,3480,18905,2,47364367,-122159635,9,31703,3
48821365,10/11/2005,221950,8/29/2003,219000,1,2,1959,1030,7405,1,47533481,-122033791,9,32103,
48821557,9/30/2005,1010000,6/30/1998,395000,3.25,6,1956,4000,49450,2,47624671,-122146103,9,23603,
48821569,10/20/2005,475000,4/12/1989,152000,3,5,1979,2720,15681,1,47622722,-122149412,9,23603,
48821885,10/18/2005,200000,12/30/1997,58000,1,3,1935,820,105850,1,47707021,-121896155,9,32500,
48822045,9/12/2005,219950,7/28/1994,111500,1.5,3,1962,1280,9514,1,47295383,-122280933,9,30401,
48822097,12/1/2005,375000,,,1,3,1920,1600,9200,2,47468564,-122361721,9,27600,
48822161,10/17/2005,350000,2/24/1995,95000,1,3,1911,1400,4000,1,47545002,-122320578,9,10900,
48822177,9/30/2005,275000,,,1,3,1902,1160,6000,1,47545281,-122319991,9,10900,
48822633,10/31/2005,419000,5/27/1999,243000,1,3,1909,1140,5395,1,47678215,-122305606,9,2500,
48822717,12/2/2005,351650,,,1.5,3,1958,1500,8272,1,47774176,-122380390,9,20100,
48822793,12/5/2005,290750,9/30/1998,153000,2.25,3,1976,1740,9750,2,47290787,-122328303,9,30303,
48822973,12/21/2005,387000,11/5/1993,109500,1,1,1925,860,3300,1,47675047,-122374116,9,3300,
48823141,12/16/2005,359950,2/26/1999,181000,1,2,1922,1100,5000,1,47674324,-122379523,9,3300,
48823141,12/16/2005,359950,12/3/2003,240000,1,2,1922,1100,5000,1,47674324,-122379523,9,3300,
48823357,9/21/2005,330000,4/29/1994,150000,1,2,1900,1020,4750,1,47672584,-122379726,9,3300,
48823357,9/21/2005,330000,5/19/1999,213000,1,2,1900,1020,4750,1,47672584,-122379726,9,3300,
48824177,9/30/2005,554000,1/28/1999,240000,1.5,4,1925,2500,5000,2,47669197,-122362702,9,3400,2
48824669,9/8/2005,358000,5/30/1997,161816,1,2,1953,1100,4230,1,47648804,-122387145,9,5801,2
48824745,9/30/2005,370000,,,1,2,1930,1140,6000,1,47645460,-122385028,9,5802,2
48824873,9/30/2005,449950,12/10/1998,230000,2,4,1919,1540,2738,1,47650898,-122383639,9,5801,2
48824893,9/9/2005,380000,8/15/1996,148000,1,2,1944,1180,6000,1,47648796,-122384288,9,5801,2
48824893,9/9/2005,380000,5/8/2000,249900,1,2,1944,1180,6000,1,47648796,-122384288,9,5801,2
48825405,10/25/2005,665000,1/2/1997,365000,1.75,2,1979,2050,4000,2,47641487,-122373318,9,5900,3
48825825,10/28/2005,615000,3/30/1998,328000,1.75,3,1931,1580,4000,2,47636485,-122391887,9,5600,2
48825989,9/26/2005,247000,,,2.25,3,1976,1700,17100,1,47176759,-122026630,9,31302,
48826089,12/16/2005,499990,,,2.5,3,1999,2510,5404,2,47597086,-122038418,9,32207,
48826321,12/29/2005,280000,,,1.5,3,1950,1670,10400,1,47508662,-122312309,9,26400,
48826553,11/18/2005,287590,6/27/2002,200000,1.75,4,1969,1930,11128,1,47412605,-122175942,9,29405,8
48826553,11/18/2005,287590,3/25/2004,205000,1.75,4,1969,1930,11128,1,47412605,-122175942,9,29405,8
48826625,9/23/2005,275000,,,1,3,1974,1420,7416,1,47409012,-122178519,9,29405,
48826745,9/9/2005,349950,,,2.25,4,1976,2620,5768,1,47411384,-122174315,9,29405,
48826781,9/30/2005,268000,12/17/1996,139950,2.25,3,1981,1810,7004,1,47411671,-122172387,9,29405,
48826853,10/14/2005,271950,9/21/1998,149000,1.75,3,1982,1310,7245,1,47403301,-122177460,9,29405,
48826853,10/14/2005,271950,2/13/2004,210000,1.75,3,1982,1310,7245,1,47403301,-122177460,9,29405,
48827009,9/9/2005,285000,,,2.25,3,1968,1750,7180,1,47507411,-122162233,9,25101,
48827213,10/13/2005,402100,5/4/2001,218000,2.25,3,1973,1650,7296,1,47719523,-122167463,9,21904,
48827549,10/28/2005,301900,9/1/1989,106665,2.5,4,1988,1980,7280,2,47289436,-122372615,9,30312,
48827625,10/21/2005,385000,,,2,2,1986,1550,17085,1,47355441,-122453725,9,27702,3
48827689,9/7/2005,316000,6/12/1998,156000,1.75,4,1979,1780,6825,1,47407394,-122176848,9,29405,
48827733,10/31/2005,295000,,,1.75,3,1979,1820,7500,1,47406301,-122177020,9,29405,
48827833,10/14/2005,399950,,,3.25,4,1997,2590,9065,2,47329341,-122205626,9,29602,
48828441,12/30/2005,410000,9/16/1988,26500,1.5,2,1988,1460,15150,1,47371471,-122425628,9,27702,3
48828589,10/28/2005,303000,,,2.5,4,1998,1700,5893,2,47264430,-122288104,9,30404,
48828789,11/16/2005,1200000,7/9/1990,450000,3,5,1911,3670,851598,2,47195588,-122056220,9,31301,8
48828849,11/29/2005,239950,,,1,2,1947,1040,11500,1,47279138,-122300020,9,30401,
48829345,11/1/2005,540000,,,3.75,5,1948,3000,19312,2,47364882,-122055813,9,32008,3
48830089,10/28/2005,486000,,,2.75,2,1991,2360,9700,2,47706184,-122300852,9,1000,2
48830821,10/24/2005,495000,9/30/2002,262500,1.75,4,1928,2020,2600,2,47677823,-122389498,9,3200,
48830861,9/15/2005,375000,7/27/2001,260000,1,4,1929,1050,3550,2,47679314,-122391628,9,3200,
48831077,9/29/2005,309000,12/16/1994,65000,1,2,1910,870,2499,1,47665100,-122319082,9,4500,
48831077,9/29/2005,309000,8/18/2003,210000,1,2,1910,870,2499,1,47665100,-122319082,9,4500,
48831169,11/30/2005,655000,7/29/1994,190000,2.5,2,1908,1530,6150,2,47649123,-122405001,9,5600,2
48831169,11/30/2005,655000,9/17/1997,322500,2.5,2,1908,1530,6150,2,47649123,-122405001,9,5600,2
48831729,11/16/2005,537660,,,1.75,3,1954,1560,3750,1,47681529,-122393293,9,3100,
48831733,11/30/2005,379000,5/24/1994,135000,1,2,1926,760,4950,1,47680474,-122393441,9,3100,
48831825,10/4/2005,170000,9/9/1993,46500,1,1,1928,410,875,1,47679851,-122393381,9,3100,
48831825,10/4/2005,170000,4/18/2003,155000,1,1,1928,410,875,1,47679851,-122393381,9,3100,
48831989,12/20/2005,258000,9/3/2002,186690,1.75,3,1975,1340,7210,1,47418164,-122166551,9,29307,
48831989,12/20/2005,258000,12/24/2003,218000,1.75,3,1975,1340,7210,1,47418164,-122166551,9,29307,
48832005,11/8/2005,260000,9/8/1997,118000,1,3,1969,860,7036,1,47418907,-122167507,9,29307,
48832633,10/3/2005,499000,5/30/2000,325000,2,4,1949,2340,6120,2,47690170,-122321779,9,2700,
48833321,12/30/2005,405000,9/19/1991,60000,1,3,1925,1150,4200,2,47686590,-122337095,9,2700,
48833333,9/21/2005,330000,,,1.75,1,1960,1450,2700,1,47689299,-122311883,9,2600,8
48833369,10/27/2005,570000,7/31/1996,202000,2.5,3,1928,2400,5035,2,47690173,-122310392,9,2600,
48833421,10/25/2005,471000,1/24/1994,161250,1.75,3,1927,1700,2850,1,47687460,-122307549,9,2600,
48833421,10/25/2005,471000,4/28/1997,188000,1.75,3,1927,1700,2850,1,47687460,-122307549,9,2600,
48833421,10/25/2005,471000,8/3/2001,367000,1.75,3,1927,1700,2850,1,47687460,-122307549,9,2600,
48833545,10/28/2005,530000,1/10/2003,380000,1.75,6,1909,4000,5130,3,47685029,-122311794,9,2600,
48833701,10/7/2005,275000,1/3/2002,198500,2.5,3,1994,1710,6693,2,47319260,-122176783,9,31205,
48834465,10/14/2005,225000,12/16/1994,134950,1.75,3,1968,1640,10720,1,47376423,-122280670,9,29100,
48834665,12/6/2005,325000,9/17/1997,111130,1,3,1952,1030,7200,1,47510303,-122384929,9,12000,
48834665,12/6/2005,325000,8/20/1999,205000,1,3,1952,1030,7200,1,47510303,-122384929,9,12000,
48835817,10/28/2005,282500,,,1.75,4,1983,1770,9011,1,47364577,-122076007,9,32005,
48836169,11/10/2005,358000,8/23/1996,122200,1,2,1905,920,3840,2,47689326,-122356447,9,2900,
48836325,10/17/2005,335000,,,1,2,1920,940,4800,1,47687151,-122362903,9,2900,
48836901,9/30/2005,367000,,,1,3,1938,960,5700,1,47689807,-122366915,9,3000,
48836905,12/5/2005,485500,3/18/1997,206000,1,2,1929,880,4400,2,47689328,-122366774,9,3000,
48837025,10/28/2005,446000,7/19/1996,160000,1,2,1938,1250,4700,1,47686034,-122367589,9,3000,
48837025,10/28/2005,446000,10/30/1997,204950,1,2,1938,1250,4700,1,47686034,-122367589,9,3000,
48837581,9/9/2005,549950,9/22/2004,429950,1.75,4,1978,2170,6580,1,47567203,-122090049,9,23402,
48837737,9/29/2005,668000,,,1.5,3,1956,1890,12100,1,47625237,-122205203,9,24000,
48837745,12/1/2005,662000,8/31/2001,500000,2.5,5,1963,2470,12989,1,47624897,-122206326,9,24000,
48837789,12/1/2005,22000,9/24/1999,650000,1.75,4,1953,2600,13600,1,47624812,-122070262,9,32316,3
48838169,10/14/2005,625000,6/30/2003,499000,2.75,4,1975,3040,88426,1,47702640,-122060999,9,32312,
48838377,12/30/2005,516550,,,2,4,1960,2400,11600,2,47451713,-122374680,9,27800,3
48838453,11/9/2005,600000,,,1.75,4,1955,2340,33385,1,47447774,-122357704,9,27800,2
48838685,12/28/2005,960000,6/21/2002,899000,2.5,4,1987,4200,21577,2,47718639,-122127681,9,32321,
48838889,10/6/2005,174617,4/24/1996,117000,1.5,3,1958,1500,6700,1,47421788,-122322712,9,28700,
48838889,10/6/2005,174617,7/24/1998,140000,1.5,3,1958,1500,6700,1,47421788,-122322712,9,28700,
48839189,10/28/2005,258000,,,1.5,3,1965,1340,10400,1,47414261,-122205653,9,29403,
48839193,12/30/2005,259950,9/10/1997,105000,1.5,3,1964,1360,9014,1,47415078,-122205992,9,29403,
48839193,12/30/2005,259950,7/6/2004,212950,1.5,3,1964,1360,9014,1,47415078,-122205992,9,29403,
48839565,12/23/2005,219950,4/11/2002,187950,1.75,3,1925,1350,6350,1,47459366,-122352015,9,27900,
48840477,11/23/2005,298000,6/15/1998,187500,2.5,3,1996,1900,9113,2,47328160,-122168666,9,31205,
48840773,10/28/2005,387500,9/9/1988,86000,1,2,1941,820,4255,1,47567711,-122389838,9,9702,3
48840825,9/30/2005,372000,,,1.75,5,1920,1710,4234,2,47531996,-122385728,9,11600,8
48840893,11/3/2005,382500,,,2,4,1949,1690,4236,2,47529767,-122385915,9,11600,3
48840997,12/27/2005,215000,6/24/1997,174000,1.5,3,1942,1620,5232,1,47530124,-122382471,9,11600,
48841197,12/30/2005,400000,,,1.75,3,1974,1630,39204,1,47279201,-122335422,9,30304,
48841205,12/7/2005,399000,,,2.25,5,1968,3360,24750,1,47274285,-122345026,9,30304,
48841301,10/18/2005,283250,8/8/1997,100674,1.5,3,1958,1390,14850,1,47286208,-122210503,9,30802,
48841301,10/18/2005,283250,6/12/2003,180500,1.5,3,1958,1390,14850,1,47286208,-122210503,9,30802,
48841549,11/28/2005,400000,,,1.75,3,1971,1600,44866,2,47358530,-122095688,9,32006,
48841693,11/29/2005,507000,1/22/2003,378000,2.25,5,1981,2920,236095,3,47457838,-122462970,9,27701,
48842061,11/7/2005,310000,7/31/1991,139500,2,3,1991,1390,14810,1,47446038,-122081228,9,31906,
48842201,12/30/2005,691100,,,1.75,3,1976,1840,30492,2,47531569,-122221750,9,24602,3
48842413,10/28/2005,856000,,,1.75,3,1952,1450,11979,1,47625100,-122218217,9,24100,8
48842657,9/2/2005,995000,,,1.75,4,1982,3230,40075,2,47710411,-122225109,9,22203,
48843037,10/12/2005,350000,,,1,3,1955,1330,6698,1,47721226,-122329953,9,600,
48843277,9/21/2005,612000,11/30/1999,120000,2.5,4,2000,2680,7230,2,47718072,-122335404,9,600,
48843277,9/21/2005,612000,8/5/2003,500000,2.5,4,2000,2680,7230,2,47718072,-122335404,9,600,
48843353,9/29/2005,382000,1/23/2003,306000,2.5,3,1988,1780,7200,2,47722711,-122338855,9,600,
48843809,11/23/2005,305000,11/29/1995,215000,1.5,3,1959,2880,8940,1,47545002,-122304370,9,11000,
48844173,9/20/2005,549000,6/6/1996,305000,2.5,4,1987,2660,10000,2,47631024,-122043438,9,32317,
48844397,11/28/2005,250000,10/19/1994,117000,1,2,1928,1090,4800,2,47575504,-122316422,9,9300,
